model,size,color,leather,hardware,year,condition,price
Evelyne,16,Gris Etain,Swift,Rose Gold,2024,Excellent,3800
Evelyne,16,Vert Anis,Epsom,Palladium,2025,New,4000
Evelyne,16,Bleu Brume,Swift,Rose Gold,2018,New,4050
Evelyne,16,Chocolat,Chevre,Gold,2019,New,4050
Evelyne,16,Rouge Casaque,Epsom,Rose Gold,2024,New,4100
Evelyne,29,Pink,Epsom,Gold,2017,Used,2700
Evelyne,29,Gold,Swift,Palladium,2025,Used,3150
Evelyne,29,Bleu Brume,Clemence,Palladium,2021,Good,3350
Evelyne,29,Orange,Chevre,Palladium,2024,Used,3400
Evelyne,29,Prune,Swift,Gold,2018,Good,3500
Evelyne,29,Prune,Clemence,Rose Gold,2019,Good,3600
Evelyne,29,Craie,Togo,Palladium,2020,Very Good,3700
Evelyne,29,Pink,Epsom,Rose Gold,2021,Good,3700
Evelyne,29,Pink,Clemence,Palladium,2023,Very Good,3800
Evelyne,29,Jaune Ambre,Swift,Gold,2025,Good,4100
Evelyne,29,Pink,Togo,Palladium,2025,Very Good,4250
Evelyne,29,Gold,Togo,Gold,2022,Excellent,4300
Evelyne,29,Bleu Brume,Swift,Palladium,2019,Very Good,4300
Evelyne,29,Vert Fonce,Epsom,Gold,2022,Very Good,4300
Evelyne,29,Rouge Casaque,Swift,Rose Gold,2018,Very Good,4400
Evelyne,29,Bleu Brume,Clemence,Gold,2023,Excellent,4450
Evelyne,29,Etoupe,Chevre,Rose Gold,2023,Very Good,4550
Evelyne,29,Mauve Sylvestre,Swift,Gold,2018,Excellent,4550
Evelyne,29,Noir,Epsom,Palladium,2024,Excellent,4600
Evelyne,29,Pink,Chevre,Gold,2022,Very Good,4600
Evelyne,29,Bleu Nuit,Clemence,Rose Gold,2017,New,4650
Evelyne,29,Vert Anis,Chevre,Gold,2024,Very Good,4700
Evelyne,29,Sakura,Togo,Palladium,2022,Excellent,4750
Evelyne,29,Sakura,Epsom,Rose Gold,2022,Excellent,4800
Evelyne,29,Rouge H,Togo,Palladium,2020,New,4850
Evelyne,29,Blanc,Epsom,Gold,2025,New,5050
Evelyne,29,Orange,Swift,Palladium,2021,Excellent,5050
Evelyne,29,Mauve Sylvestre,Clemence,Palladium,2025,New,5250
Evelyne,29,Prune,Clemence,Rose Gold,2025,New,5300
Evelyne,29,Chocolat,Chevre,Rose Gold,2020,New,5800
Evelyne,33,Etoupe,Epsom,Palladium,2022,Used,3450
Evelyne,33,Vert Fonce,Clemence,Palladium,2025,Used,3500
Evelyne,33,Sakura,Togo,Rose Gold,2019,Used,3600
Evelyne,33,Anemone,Togo,Rose Gold,2019,Used,3650
Evelyne,33,Noir,Chevre,Gold,2025,Used,3850
Evelyne,33,Bleu Zellige,Chevre,Palladium,2024,Used,4150
Evelyne,33,Bleu Brume,Togo,Palladium,2019,Very Good,4600
Evelyne,33,Pink,Togo,Palladium,2021,Very Good,4600
Evelyne,33,Vert Bosphore,Chevre,Gold,2024,Good,4700
Evelyne,33,Blanc,Chevre,Palladium,2021,Good,4700
Evelyne,33,Jaune Ambre,Swift,Gold,2022,Good,4750
Evelyne,33,Prune,Clemence,Palladium,2021,Very Good,4750
Evelyne,33,Rouge Casaque,Clemence,Gold,2021,Very Good,4800
Evelyne,33,Rouge H,Togo,Gold,2018,Very Good,4850
Evelyne,33,Rose,Epsom,Rose Gold,2022,Very Good,5150
Evelyne,33,Jaune Ambre,Togo,Rose Gold,2024,Very Good,5150
Evelyne,33,Pink,Clemence,Rose Gold,2022,Very Good,5150
Evelyne,33,Blanc,Epsom,Rose Gold,2020,Excellent,5300
Evelyne,33,Bleu Nuit,Epsom,Rose Gold,2020,Excellent,5400
Evelyne,33,Pink,Togo,Rose Gold,2025,Very Good,5550
Evelyne,33,Craie,Togo,Palladium,2019,New,5550
Evelyne,33,Bleu Nuit,Togo,Palladium,2022,New,5600
Evelyne,33,Rouge Casaque,Epsom,Rose Gold,2018,Excellent,5700
Evelyne,33,Vert Bosphore,Togo,Rose Gold,2025,Excellent,5750
Evelyne,33,Etoupe,Togo,Gold,2020,New,6150
Evelyne,33,Sakura,Clemence,Gold,2023,New,6200
Evelyne,33,Noir,Epsom,Gold,2024,New,6250
Evelyne,33,Gold,Epsom,Rose Gold,2022,New,6300
Evelyne,33,Orange,Chevre,Palladium,2023,Excellent,6350
Evelyne,33,Sakura,Epsom,Palladium,2020,New,6400
Evelyne,33,Sakura,Togo,Rose Gold,2021,New,6400
Evelyne,33,Vert Anis,Chevre,Rose Gold,2025,New,7500
Garden Party,30,Noir,Togo,Rose Gold,2021,Used,2400
Garden Party,30,Craie,Epsom,Palladium,2023,Used,2400
Garden Party,30,Vert Bosphore,Togo,Palladium,2024,Used,2500
Garden Party,30,Sakura,Togo,Palladium,2022,Used,2550
Garden Party,30,Rouge Casaque,Swift,Palladium,2021,Used,2550
Garden Party,30,Jaune Ambre,Epsom,Gold,2020,Used,2600
Garden Party,30,Vert Fonce,Epsom,Palladium,2018,Good,2700
Garden Party,30,Rouge Casaque,Swift,Rose Gold,2023,Used,2900
Garden Party,30,Prune,Clemence,Rose Gold,2021,Good,2950
Garden Party,30,Rose,Epsom,Palladium,2025,Good,3000
Garden Party,30,Vert Fonce,Swift,Rose Gold,2018,Good,3050
Garden Party,30,Bleu Nuit,Clemence,Gold,2025,Good,3050
Garden Party,30,Gris Etain,Togo,Gold,2020,Very Good,3100
Garden Party,30,Jaune Ambre,Epsom,Gold,2023,Good,3150
Garden Party,30,Vert Fonce,Epsom,Rose Gold,2025,Good,3150
Garden Party,30,Rose,Chevre,Gold,2022,Good,3200
Garden Party,30,Etoupe,Swift,Rose Gold,2022,Good,3200
Garden Party,30,Mauve Sylvestre,Clemence,Gold,2022,Very Good,3250
Garden Party,30,Mauve Sylvestre,Chevre,Palladium,2022,Good,3300
Garden Party,30,Anemone,Epsom,Rose Gold,2020,Very Good,3500
Garden Party,30,Bleu Nuit,Togo,Gold,2022,Excellent,3600
Garden Party,30,Etoupe,Chevre,Gold,2021,Very Good,3600
Garden Party,30,Blanc,Togo,Palladium,2022,Excellent,3650
Garden Party,30,Chocolat,Epsom,Palladium,2021,Excellent,3650
Garden Party,30,Jaune Ambre,Swift,Palladium,2023,Very Good,3700
Garden Party,30,Sakura,Togo,Gold,2021,Excellent,3750
Garden Party,30,Noir,Togo,Gold,2018,New,3850
Garden Party,30,Sakura,Clemence,Gold,2022,Excellent,3850
Garden Party,30,Gris Etain,Chevre,Gold,2022,Very Good,3850
Garden Party,30,Vert Fonce,Chevre,Rose Gold,2023,Very Good,3950
Garden Party,30,Gold,Swift,Rose Gold,2019,Excellent,4000
Garden Party,30,Vert Anis,Chevre,Gold,2021,Excellent,4050
Garden Party,30,Craie,Swift,Palladium,2017,New,4050
Garden Party,30,Gris Etain,Epsom,Rose Gold,2025,Excellent,4150
Garden Party,30,Anemone,Clemence,Rose Gold,2024,Excellent,4150
Garden Party,30,Pink,Swift,Gold,2019,New,4200
Garden Party,30,Rouge H,Chevre,Rose Gold,2025,Very Good,4300
Garden Party,30,Vert Anis,Clemence,Rose Gold,2021,New,4450
Garden Party,30,Mauve Sylvestre,Togo,Gold,2022,New,4450
Garden Party,30,Vert Fonce,Chevre,Rose Gold,2020,New,4550
Garden Party,30,Sakura,Clemence,Rose Gold,2024,New,4550
Garden Party,36,Bleu Nuit,Clemence,Palladium,2021,Used,2550
Garden Party,36,Bleu Brume,Togo,Palladium,2023,Used,2650
Garden Party,36,Gold,Togo,Rose Gold,2018,Used,2700
Garden Party,36,Etoupe,Swift,Palladium,2021,Used,2850
Garden Party,36,Rouge H,Epsom,Palladium,2022,Used,2850
Garden Party,36,Etoupe,Swift,Rose Gold,2019,Used,2900
Garden Party,36,Bleu Nuit,Swift,Rose Gold,2021,Used,3100
Garden Party,36,Prune,Epsom,Rose Gold,2024,Used,3100
Garden Party,36,Gold,Chevre,Palladium,2022,Used,3100
Garden Party,36,Vert Bosphore,Clemence,Rose Gold,2025,Used,3100
Garden Party,36,Bleu Saphir,Swift,Palladium,2024,Used,3150
Garden Party,36,Bleu Saphir,Epsom,Rose Gold,2020,Good,3300
Garden Party,36,Sakura,Epsom,Rose Gold,2024,Used,3350
Garden Party,36,Sakura,Chevre,Gold,2017,Good,3400
Garden Party,36,Gold,Clemence,Gold,2024,Good,3450
Garden Party,36,Rose,Clemence,Rose Gold,2024,Good,3500
Garden Party,36,Craie,Epsom,Gold,2023,Good,3550
Garden Party,36,Prune,Clemence,Palladium,2019,Very Good,3600
Garden Party,36,Blanc,Togo,Palladium,2024,Very Good,3600
Garden Party,36,Rouge H,Epsom,Palladium,2025,Good,3650
Garden Party,36,Blanc,Clemence,Palladium,2018,Excellent,3650
Garden Party,36,Vert Anis,Epsom,Rose Gold,2025,Good,3700
Garden Party,36,Jaune Ambre,Swift,Rose Gold,2020,Good,3700
Garden Party,36,Vert Anis,Swift,Palladium,2025,Good,3800
Garden Party,36,Bleu Nuit,Chevre,Palladium,2022,Very Good,3950
Garden Party,36,Anemone,Clemence,Palladium,2022,Excellent,3950
Garden Party,36,Sakura,Togo,Gold,2019,Excellent,4100
Garden Party,36,Orange,Epsom,Gold,2024,Very Good,4150
Garden Party,36,Bleu Zellige,Swift,Gold,2023,Very Good,4200
Garden Party,36,Havane,Togo,Gold,2023,Excellent,4200
Garden Party,36,Blanc,Togo,Palladium,2023,Excellent,4250
Garden Party,36,Craie,Togo,Palladium,2018,New,4350
Garden Party,36,Bleu Brume,Epsom,Gold,2019,New,4600
Garden Party,36,Pink,Swift,Palladium,2017,New,4700
Garden Party,36,Jaune Ambre,Togo,Rose Gold,2018,New,4800
Garden Party,36,Mauve Sylvestre,Swift,Gold,2020,Excellent,4800
Garden Party,36,Havane,Swift,Palladium,2022,New,4900
Garden Party,36,Havane,Swift,Rose Gold,2017,New,5000
Garden Party,36,Etoupe,Epsom,Gold,2025,New,5050
Halzan,25,Bleu Saphir,Chevre,Gold,2019,Used,4600
Halzan,25,Blanc,Chevre,Rose Gold,2020,Used,4750
Halzan,25,Bleu Brume,Togo,Gold,2020,Good,4950
Halzan,25,Orange,Clemence,Palladium,2023,Good,5150
Halzan,25,Mauve Sylvestre,Togo,Palladium,2023,Good,5350
Halzan,25,Bleu Saphir,Togo,Rose Gold,2023,Good,5500
Halzan,25,Rouge Casaque,Epsom,Palladium,2018,Very Good,5550
Halzan,25,Gris Etain,Togo,Palladium,2018,Very Good,5550
Halzan,25,Gris Etain,Epsom,Gold,2019,Very Good,5600
Halzan,25,Vert Fonce,Swift,Rose Gold,2022,Good,5600
Halzan,25,Anemone,Swift,Rose Gold,2024,Good,5650
Halzan,25,Mauve Sylvestre,Clemence,Palladium,2021,Very Good,5750
Halzan,25,Bleu Brume,Epsom,Palladium,2022,Very Good,5900
Halzan,25,Pink,Epsom,Palladium,2017,Excellent,5900
Halzan,25,Blanc,Chevre,Palladium,2017,Very Good,5950
Halzan,25,Vert Fonce,Chevre,Gold,2019,Very Good,6000
Halzan,25,Bleu Nuit,Togo,Rose Gold,2023,Very Good,6100
Halzan,25,Bleu Nuit,Clemence,Rose Gold,2017,Excellent,6200
Halzan,25,Gris Etain,Chevre,Rose Gold,2019,Very Good,6300
Halzan,25,Bleu Saphir,Swift,Rose Gold,2018,Very Good,6300
Halzan,25,Rouge H,Togo,Palladium,2020,Excellent,6350
Halzan,25,Vert Anis,Epsom,Gold,2025,Very Good,6350
Halzan,25,Bleu Zellige,Togo,Gold,2018,New,6550
Halzan,25,Anemone,Chevre,Gold,2019,Very Good,6600
Halzan,25,Noir,Clemence,Rose Gold,2022,Excellent,6650
Halzan,25,Rouge H,Clemence,Palladium,2020,New,6650
Halzan,25,Rouge H,Clemence,Gold,2018,New,6700
Halzan,25,Bleu Nuit,Togo,Gold,2020,New,6700
Halzan,25,Bleu Zellige,Togo,Palladium,2024,Excellent,6800
Halzan,25,Orange,Swift,Rose Gold,2018,Excellent,7050
Halzan,25,Gris Etain,Chevre,Rose Gold,2019,New,7650
Halzan,25,Rose,Chevre,Palladium,2018,New,7750
Halzan,25,Sakura,Swift,Rose Gold,2024,New,8950
Halzan,25,Rouge Casaque,Lizard,Gold,2021,Used,16250
Halzan,25,Mauve Sylvestre,Alligator,Rose Gold,2018,Used,20050
Halzan,25,Sakura,Lizard,Rose Gold,2024,Very Good,24900
Halzan,25,Prune,Crocodile,Rose Gold,2021,Excellent,32350
Halzan,31,Rouge H,Clemence,Gold,2025,Used,4800
Halzan,31,Craie,Togo,Gold,2017,Good,5250
Halzan,31,Etoupe,Epsom,Gold,2017,Good,5250
Halzan,31,Etoupe,Swift,Palladium,2024,Used,5250
Halzan,31,Jaune Ambre,Chevre,Palladium,2020,Used,5300
Halzan,31,Chocolat,Togo,Palladium,2018,Good,5350
Halzan,31,Sakura,Chevre,Palladium,2022,Used,5450
Halzan,31,Gris Etain,Swift,Rose Gold,2022,Used,5500
Halzan,31,Havane,Epsom,Rose Gold,2019,Good,5950
Halzan,31,Sakura,Swift,Palladium,2021,Good,5950
Halzan,31,Blanc,Chevre,Gold,2019,Good,6000
Halzan,31,Chocolat,Swift,Palladium,2021,Good,6050
Halzan,31,Bleu Saphir,Chevre,Rose Gold,2017,Good,6100
Halzan,31,Bleu Saphir,Swift,Gold,2021,Good,6100
Halzan,31,Havane,Chevre,Rose Gold,2017,Good,6100
Halzan,31,Vert Fonce,Epsom,Gold,2018,Very Good,6300
Halzan,31,Vert Anis,Epsom,Rose Gold,2020,Good,6300
Halzan,31,Rouge H,Epsom,Gold,2025,Good,6350
Halzan,31,Bleu Nuit,Swift,Palladium,2020,Very Good,6450
Halzan,31,Etoupe,Togo,Gold,2024,Very Good,6550
Halzan,31,Mauve Sylvestre,Swift,Palladium,2018,Very Good,6600
Halzan,31,Vert Anis,Togo,Gold,2020,Very Good,6700
Halzan,31,Etoupe,Togo,Rose Gold,2025,Very Good,6850
Halzan,31,Rose,Swift,Rose Gold,2017,Very Good,6900
Halzan,31,Mauve Sylvestre,Clemence,Rose Gold,2020,Excellent,7000
Halzan,31,Mauve Sylvestre,Epsom,Gold,2024,Very Good,7100
Halzan,31,Rouge Casaque,Swift,Gold,2022,Very Good,7300
Halzan,31,Prune,Togo,Rose Gold,2025,Very Good,7500
Halzan,31,Rouge Casaque,Chevre,Palladium,2024,Very Good,7700
Halzan,31,Bleu Brume,Chevre,Palladium,2017,Excellent,7800
Halzan,31,Vert Bosphore,Clemence,Rose Gold,2020,New,8150
Halzan,31,Sakura,Swift,Gold,2023,Excellent,8200
Halzan,31,Rouge H,Togo,Gold,2024,New,8300
Halzan,31,Bleu Brume,Epsom,Rose Gold,2019,New,8450
Halzan,31,Bleu Nuit,Swift,Gold,2023,New,8750
Halzan,31,Etoupe,Swift,Rose Gold,2018,New,8900
Halzan,31,Vert Fonce,Chevre,Gold,2022,New,9100
Halzan,31,Rouge H,Crocodile,Rose Gold,2017,Used,22350
Halzan,31,Noir,Alligator,Rose Gold,2020,Good,26900
Halzan,31,Pink,Alligator,Gold,2020,Very Good,28550
Halzan,31,Bleu Saphir,Alligator,Rose Gold,2017,Very Good,28650
Halzan,31,Mauve Sylvestre,Crocodile,Gold,2023,Very Good,33800
Halzan,31,Etoupe,Alligator,Rose Gold,2025,Excellent,37400
Kelly,25,Bleu Zellige,Clemence,Palladium,2017,Used,9150
Kelly,25,Bleu Saphir,Clemence,Gold,2019,Used,9850
Kelly,25,Pink,Togo,Gold,2019,Used,10250
Kelly,25,Rouge H,Epsom,Gold,2020,Used,10350
Kelly,25,Chocolat,Togo,Rose Gold,2024,Used,10750
Kelly,25,Rose,Togo,Palladium,2024,Used,11000
Kelly,25,Vert Anis,Epsom,Palladium,2024,Used,11150
Kelly,25,Gris Etain,Epsom,Palladium,2025,Used,11200
Kelly,25,Vert Fonce,Epsom,Gold,2017,Good,11600
Kelly,25,Mauve Sylvestre,Epsom,Gold,2025,Used,11650
Kelly,25,Craie,Clemence,Rose Gold,2017,Good,12100
Kelly,25,Prune,Clemence,Rose Gold,2018,Good,12150
Kelly,25,Bleu Brume,Togo,Palladium,2021,Good,12350
Kelly,25,Bleu Zellige,Clemence,Rose Gold,2022,Good,12350
Kelly,25,Etoupe,Chevre,Rose Gold,2022,Used,12550
Kelly,25,Anemone,Clemence,Palladium,2025,Good,12800
Kelly,25,Vert Bosphore,Swift,Palladium,2022,Good,12800
Kelly,25,Jaune Ambre,Epsom,Palladium,2019,Good,12800
Kelly,25,Gris Etain,Chevre,Rose Gold,2025,Used,12850
Kelly,25,Bleu Saphir,Epsom,Gold,2023,Good,13200
Kelly,25,Havane,Togo,Gold,2024,Good,13250
Kelly,25,Chocolat,Chevre,Palladium,2019,Good,13350
Kelly,25,Bleu Brume,Swift,Gold,2020,Good,13400
Kelly,25,Anemone,Togo,Palladium,2017,Very Good,13450
Kelly,25,Pink,Swift,Gold,2021,Good,13800
Kelly,25,Anemone,Epsom,Rose Gold,2023,Good,13900
Kelly,25,Vert Fonce,Clemence,Rose Gold,2018,Very Good,14000
Kelly,25,Bleu Nuit,Swift,Palladium,2024,Good,14150
Kelly,25,Bleu Brume,Chevre,Palladium,2021,Good,14200
Kelly,25,Bleu Nuit,Clemence,Rose Gold,2017,Excellent,14200
Kelly,25,Blanc,Swift,Rose Gold,2024,Good,14250
Kelly,25,Noir,Togo,Palladium,2025,Very Good,14400
Kelly,25,Bleu Zellige,Togo,Gold,2025,Very Good,14950
Kelly,25,Vert Bosphore,Swift,Rose Gold,2018,Very Good,15000
Kelly,25,Orange,Togo,Palladium,2022,Very Good,15000
Kelly,25,Rouge Casaque,Chevre,Gold,2025,Good,15150
Kelly,25,Mauve Sylvestre,Clemence,Palladium,2017,Excellent,15350
Kelly,25,Jaune Ambre,Swift,Gold,2022,Very Good,15400
Kelly,25,Gold,Swift,Palladium,2021,Excellent,15800
Kelly,25,Craie,Swift,Gold,2023,Very Good,16150
Kelly,25,Bleu Brume,Epsom,Gold,2025,Very Good,16350
Kelly,25,Vert Anis,Togo,Rose Gold,2017,Excellent,16400
Kelly,25,Mauve Sylvestre,Swift,Rose Gold,2017,Excellent,16400
Kelly,25,Blanc,Epsom,Gold,2025,Excellent,16450
Kelly,25,Orange,Clemence,Gold,2021,Excellent,16500
Kelly,25,Gris Etain,Swift,Gold,2021,Excellent,16550
Kelly,25,Rose,Togo,Rose Gold,2023,Excellent,16700
Kelly,25,Gris Etain,Chevre,Palladium,2020,Excellent,16750
Kelly,25,Anemone,Chevre,Rose Gold,2024,Very Good,16800
Kelly,25,Anemone,Epsom,Rose Gold,2024,Very Good,16950
Kelly,25,Prune,Chevre,Gold,2025,Very Good,17100
Kelly,25,Vert Anis,Togo,Palladium,2022,New,17250
Kelly,25,Jaune Ambre,Chevre,Palladium,2018,Excellent,17250
Kelly,25,Havane,Togo,Palladium,2022,New,17300
Kelly,25,Vert Anis,Epsom,Rose Gold,2017,New,17550
Kelly,25,Gris Etain,Clemence,Rose Gold,2020,New,17600
Kelly,25,Sakura,Clemence,Palladium,2018,New,17650
Kelly,25,Rouge Casaque,Swift,Gold,2024,Excellent,17950
Kelly,25,Orange,Epsom,Palladium,2024,Excellent,18150
Kelly,25,Bleu Zellige,Swift,Palladium,2025,Excellent,18900
Kelly,25,Blanc,Epsom,Rose Gold,2024,New,18950
Kelly,25,Gold,Chevre,Gold,2020,New,19150
Kelly,25,Anemone,Epsom,Palladium,2022,New,19400
Kelly,25,Orange,Chevre,Gold,2025,New,21750
Kelly,25,Vert Anis,Ostrich,Rose Gold,2020,Used,35950
Kelly,25,Jaune Ambre,Ostrich,Rose Gold,2019,Good,42250
Kelly,25,Bleu Saphir,Alligator,Palladium,2022,Used,48700
Kelly,25,Vert Fonce,Crocodile,Gold,2020,Used,50900
Kelly,25,Etoupe,Alligator,Rose Gold,2025,Used,52950
Kelly,25,Sakura,Lizard,Palladium,2025,Excellent,64550
Kelly,25,Rouge Casaque,Crocodile,Rose Gold,2022,Good,67000
Kelly,25,Mauve Sylvestre,Lizard,Rose Gold,2017,New,71350
Kelly,28,Blanc,Togo,Gold,2021,Used,10450
Kelly,28,Rouge Casaque,Clemence,Gold,2020,Used,10600
Kelly,28,Orange,Clemence,Gold,2018,Used,10900
Kelly,28,Orange,Clemence,Palladium,2021,Used,11000
Kelly,28,Gold,Togo,Palladium,2025,Used,11050
Kelly,28,Bleu Brume,Clemence,Gold,2023,Used,11250
Kelly,28,Vert Anis,Epsom,Gold,2025,Used,11650
Kelly,28,Havane,Chevre,Palladium,2019,Used,11750
Kelly,28,Gris Etain,Clemence,Palladium,2018,Good,11750
Kelly,28,Blanc,Togo,Gold,2018,Good,11900
Kelly,28,Vert Fonce,Swift,Gold,2022,Used,11950
Kelly,28,Bleu Zellige,Togo,Palladium,2018,Good,11950
Kelly,28,Rouge H,Togo,Palladium,2025,Used,12050
Kelly,28,Havane,Chevre,Palladium,2019,Used,12150
Kelly,28,Rouge H,Clemence,Gold,2021,Good,12750
Kelly,28,Rouge H,Chevre,Palladium,2023,Used,12950
Kelly,28,Vert Bosphore,Epsom,Palladium,2023,Good,13200
Kelly,28,Pink,Clemence,Gold,2025,Good,13250
Kelly,28,Rouge Casaque,Togo,Gold,2023,Good,13500
Kelly,28,Etoupe,Chevre,Rose Gold,2023,Used,13500
Kelly,28,Noir,Togo,Rose Gold,2023,Good,13800
Kelly,28,Anemone,Epsom,Rose Gold,2019,Good,13850
Kelly,28,Jaune Ambre,Togo,Gold,2021,Good,14000
Kelly,28,Blanc,Epsom,Palladium,2018,Very Good,14300
Kelly,28,Noir,Swift,Palladium,2023,Good,14350
Kelly,28,Havane,Togo,Palladium,2022,Very Good,14400
Kelly,28,Vert Anis,Swift,Rose Gold,2022,Good,14750
Kelly,28,Gold,Togo,Rose Gold,2021,Very Good,14900
Kelly,28,Rouge Casaque,Togo,Rose Gold,2019,Very Good,15050
Kelly,28,Noir,Togo,Palladium,2025,Very Good,15150
Kelly,28,Bleu Saphir,Togo,Palladium,2023,Very Good,15150
Kelly,28,Bleu Brume,Togo,Gold,2024,Very Good,15350
Kelly,28,Bleu Nuit,Swift,Palladium,2020,Very Good,15500
Kelly,28,Mauve Sylvestre,Epsom,Gold,2017,Very Good,15550
Kelly,28,Anemone,Togo,Palladium,2025,Very Good,15850
Kelly,28,Pink,Swift,Rose Gold,2024,Good,15900
Kelly,28,Gold,Clemence,Rose Gold,2018,Excellent,16000
Kelly,28,Rose,Clemence,Palladium,2020,Excellent,16050
Kelly,28,Gris Etain,Swift,Gold,2019,Very Good,16100
Kelly,28,Vert Anis,Epsom,Gold,2023,Very Good,16150
Kelly,28,Bleu Nuit,Swift,Rose Gold,2019,Very Good,16450
Kelly,28,Rouge H,Togo,Rose Gold,2024,Very Good,16500
Kelly,28,Vert Fonce,Epsom,Rose Gold,2017,Excellent,16750
Kelly,28,Prune,Clemence,Gold,2021,Excellent,16750
Kelly,28,Bleu Saphir,Chevre,Rose Gold,2025,Good,16800
Kelly,28,Jaune Ambre,Chevre,Rose Gold,2025,Good,16850
Kelly,28,Rose,Chevre,Palladium,2025,Very Good,17100
Kelly,28,Vert Anis,Chevre,Gold,2023,Very Good,17200
Kelly,28,Mauve Sylvestre,Togo,Rose Gold,2024,Very Good,17450
Kelly,28,Craie,Chevre,Rose Gold,2022,Very Good,17550
Kelly,28,Pink,Clemence,Gold,2019,New,17950
Kelly,28,Bleu Nuit,Swift,Rose Gold,2018,Excellent,18100
Kelly,28,Bleu Brume,Togo,Palladium,2024,Excellent,18450
Kelly,28,Gold,Chevre,Palladium,2024,Excellent,18450
Kelly,28,Blanc,Chevre,Palladium,2020,Excellent,18550
Kelly,28,Orange,Chevre,Gold,2022,Very Good,18750
Kelly,28,Bleu Nuit,Epsom,Palladium,2020,New,19350
Kelly,28,Blanc,Chevre,Gold,2018,New,19600
Kelly,28,Orange,Clemence,Rose Gold,2021,New,19750
Kelly,28,Jaune Ambre,Chevre,Palladium,2023,Excellent,20100
Kelly,28,Sakura,Swift,Rose Gold,2021,Excellent,20150
Kelly,28,Vert Bosphore,Chevre,Rose Gold,2018,New,20550
Kelly,28,Jaune Ambre,Chevre,Rose Gold,2023,Excellent,20750
Kelly,28,Rouge Casaque,Epsom,Rose Gold,2022,New,20850
Kelly,28,Mauve Sylvestre,Chevre,Rose Gold,2023,Excellent,21400
Kelly,28,Vert Bosphore,Chevre,Rose Gold,2023,New,23100
Kelly,28,Havane,Ostrich,Rose Gold,2023,Very Good,56050
Kelly,28,Chocolat,Lizard,Gold,2018,Very Good,57500
Kelly,28,Etoupe,Ostrich,Gold,2021,New,60500
Kelly,28,Bleu Zellige,Lizard,Gold,2018,Excellent,62250
Kelly,28,Blanc,Lizard,Palladium,2020,Excellent,63500
Kelly,28,Etoupe,Lizard,Gold,2019,New,69700
Kelly,28,Rouge Casaque,Ostrich,Rose Gold,2025,New,70550
Kelly,28,Bleu Saphir,Alligator,Gold,2022,Very Good,74250
Kelly,28,Havane,Lizard,Rose Gold,2025,New,81150
Kelly,28,Sakura,Crocodile,Gold,2018,Excellent,84850
Kelly,28,Chocolat,Alligator,Palladium,2025,New,90650
Kelly,28,Vert Anis,Crocodile,Gold,2025,Excellent,94700
Lindy,26,Bleu Saphir,Epsom,Gold,2020,Used,5250
Lindy,26,Blanc,Epsom,Palladium,2024,Used,5550
Lindy,26,Etoupe,Swift,Gold,2021,Used,5600
Lindy,26,Vert Anis,Clemence,Gold,2023,Used,5650
Lindy,26,Vert Anis,Epsom,Rose Gold,2020,Used,5650
Lindy,26,Rouge H,Epsom,Gold,2024,Used,5950
Lindy,26,Rouge Casaque,Epsom,Gold,2018,Good,6050
Lindy,26,Vert Fonce,Togo,Gold,2017,Good,6100
Lindy,26,Orange,Clemence,Rose Gold,2024,Used,6150
Lindy,26,Havane,Epsom,Gold,2018,Good,6150
Lindy,26,Rouge H,Swift,Gold,2025,Used,6350
Lindy,26,Bleu Nuit,Togo,Palladium,2018,Very Good,6900
Lindy,26,Orange,Togo,Rose Gold,2025,Good,7000
Lindy,26,Bleu Zellige,Epsom,Palladium,2025,Good,7100
Lindy,26,Bleu Saphir,Swift,Rose Gold,2020,Good,7150
Lindy,26,Bleu Nuit,Clemence,Palladium,2019,Excellent,7200
Lindy,26,Bleu Nuit,Chevre,Gold,2023,Good,7250
Lindy,26,Noir,Togo,Rose Gold,2019,Very Good,7300
Lindy,26,Mauve Sylvestre,Epsom,Rose Gold,2025,Good,7450
Lindy,26,Havane,Clemence,Rose Gold,2024,Very Good,7550
Lindy,26,Chocolat,Chevre,Rose Gold,2021,Good,7600
Lindy,26,Vert Anis,Togo,Rose Gold,2017,Very Good,7650
Lindy,26,Rouge H,Chevre,Gold,2018,Very Good,7750
Lindy,26,Blanc,Clemence,Rose Gold,2017,New,8250
Lindy,26,Rouge Casaque,Swift,Palladium,2017,Excellent,8250
Lindy,26,Chocolat,Chevre,Gold,2023,Very Good,8300
Lindy,26,Vert Fonce,Chevre,Rose Gold,2021,Very Good,8500
Lindy,26,Pink,Chevre,Rose Gold,2017,Very Good,8500
Lindy,26,Blanc,Chevre,Rose Gold,2017,Excellent,8700
Lindy,26,Vert Bosphore,Clemence,Gold,2023,New,8900
Lindy,26,Rose,Togo,Rose Gold,2025,Excellent,8900
Lindy,26,Etoupe,Chevre,Gold,2021,Excellent,8950
Lindy,26,Orange,Epsom,Palladium,2023,Excellent,8950
Lindy,26,Rose,Chevre,Rose Gold,2019,Excellent,9000
Lindy,26,Orange,Swift,Gold,2022,Excellent,9300
Lindy,26,Craie,Clemence,Rose Gold,2022,New,9300
Lindy,26,Orange,Togo,Palladium,2024,New,9750
Lindy,26,Vert Fonce,Epsom,Rose Gold,2021,New,9750
